Sl No_acc,State,2020 Accidents,2021 Accidents,2022 Accidents,2023 Accidents,2024 Accidents,Change from 2023 to 2024,% change from 2023 to 2024_acc,2020 Ranking_acc,2021 Ranking_acc,2022 Ranking_acc,2023 Ranking_acc,2024 Ranking_acc,Sl No_fat,2020 Killed,2021 Killed,2022 Killed,2023 Killed,2024 Killed,% change from 2023 to 2024_fat,2020 Ranking_fat,2021 Ranking_fat,2022 Ranking_fat,2023 Ranking_fat,2024 Ranking_fat,Population_2011,Accidents_per_lakh_2024
18,Nagaland,500.0,746.0,489.0,303.0,129.0,-174.0,-57.4,25.0,25.0,27.0,27.0,34.0,18,53.0,55.0,73.0,86.0,62.0,-27.91,30.0,34.0,33.0,29.0,33.0,1980602,6.51317124793371
19,Odisha,9817.0,10983.0,11663.0,11992.0,12375.0,383.0,3.2,13.0,13.0,13.0,13.0,13.0,19,4738.0,5081.0,5467.0,5739.0,6142.0,7.02,12.0,13.0,13.0,13.0,13.0,41947358,29.50126203419057
36,Puducherry,969.0,1049.0,1181.0,1308.0,1431.0,123.0,9.4,24.0,24.0,24.0,24.0,24.0,36,145.0,140.0,181.0,149.0,218.0,46.31,25.0,27.0,25.0,26.0,25.0,1244464,114.98926445441572
20,Punjab,5203.0,5871.0,6138.0,6269.0,6063.0,-206.0,-3.3,17.0,17.0,17.0,18.0,17.0,20,3898.0,4589.0,4756.0,4829.0,4759.0,-1.45,15.0,15.0,15.0,15.0,14.0,27704236,21.884739936520898
21,Rajasthan,19114.0,20951.0,23614.0,24694.0,24838.0,144.0,0.6,9.0,9.0,7.0,7.0,8.0,21,9250.0,10043.0,11104.0,11762.0,11790.0,0.24,6.0,5.0,6.0,6.0,6.0,68621012,36.195910372175796
22,Sikkim,138.0,155.0,211.0,182.0,149.0,-33.0,-18.1,31.0,32.0,32.0,31.0,32.0,22,47.0,56.0,92.0,57.0,67.0,17.54,32.0,31.0,30.0,34.0,32.0,607688,24.51916114848409
23,Tamil Nadu,49844.0,55682.0,64105.0,67213.0,67526.0,313.0,0.5,1.0,1.0,1.0,1.0,,23,14527.0,15384.0,17884.0,18347.0,18449.0,0.56,2.0,2.0,2.0,2.0,2.0,72138958,93.60545518275993
24,Telangana,19172.0,21315.0,21619.0,22903.0,25986.0,3083.0,13.5,8.0,8.0,8.0,8.0,7.0,24,6882.0,7557.0,7559.0,7660.0,7949.0,3.77,8.0,9.0,10.0,10.0,9.0,35193978,73.83649555046037
25,Tripura,466.0,479.0,575.0,577.0,578.0,1.0,0.2,26.0,26.0,25.0,25.0,25.0,25,192.0,194.0,241.0,261.0,226.0,-13.41,24.0,24.0,24.0,24.0,24.0,3671032,15.744891354801593
27,Uttar Pradesh,34243.0,37729.0,41746.0,44534.0,46052.0,1518.0,3.4,3.0,3.0,4.0,4.0,4.0,27,19149.0,21227.0,22595.0,23652.0,24118.0,1.97,1.0,1.0,1.0,1.0,1.0,199581477,23.074285596152794
26,Uttarakhand,1041.0,1405.0,1674.0,1691.0,1747.0,56.0,3.3,23.0,23.0,23.0,23.0,23.0,26,674.0,820.0,1042.0,1054.0,1090.0,3.42,22.0,21.0,20.0,20.0,20.0,10116752,17.26838811507883
28,West Bengal,10863.0,11937.0,13686.0,13795.0,13702.0,-93.0,-0.7,12.0,12.0,11.0,11.0,12.0,28,5128.0,5800.0,6002.0,6027.0,6676.0,10.77,11.0,11.0,11.0,12.0,12.0,91347736,14.999824407251866
